,CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn
0,1,49,0,4,88.35,Month-to-Month,Fiber Optic,353.4,Yes,1
1,2,43,0,0,36.67,Month-to-Month,Fiber Optic,0.0,Yes,1
2,3,51,1,2,63.79,Month-to-Month,Fiber Optic,127.58,No,1
3,4,60,1,8,102.34,One-Year,DSL,818.72,Yes,1
4,5,42,0,32,69.01,Month-to-Month,,2208.32,No,1
5,6,42,1,16,119.75,Two-Year,DSL,1916.0,Yes,1
6,7,60,0,14,80.32,One-Year,,1124.48,No,1
7,8,52,1,6,58.9,One-Year,,353.4,No,1
8,9,40,1,53,49.81,Two-Year,Fiber Optic,2639.9300000000003,Yes,0
9,10,50,1,10,61.55,Month-to-Month,Fiber Optic,615.5,Yes,1
10,11,40,1,1,63.53,Month-to-Month,Fiber Optic,63.53,Yes,1
11,12,40,1,19,36.18,One-Year,Fiber Optic,687.42,Yes,0
12,13,47,0,2,63.26,Two-Year,,126.52,No,1
13,14,25,1,8,71.78,One-Year,,574.24,No,1
14,15,27,0,14,95.05,Month-to-Month,Fiber Optic,1330.7,Yes,1
15,16,39,1,41,89.11,Two-Year,Fiber Optic,3653.51,Yes,0
16,17,34,1,13,93.79,Month-to-Month,,1219.27,No,1
17,18,48,1,24,30.75,Two-Year,,738.0,No,1
18,19,35,0,98,49.59,Two-Year,Fiber Optic,4859.820000000001,Yes,0
19,20,30,1,2,89.55,Month-to-Month,Fiber Optic,179.1,No,1
20,21,59,1,6,73.56,One-Year,DSL,441.36,No,1
21,22,42,1,10,30.48,Month-to-Month,,304.8,No,1
22,23,45,0,10,102.4,Month-to-Month,DSL,1024.0,Yes,1
23,24,30,0,10,99.55,One-Year,Fiber Optic,995.5,Yes,1
24,25,39,0,47,79.36,One-Year,DSL,3729.92,Yes,0
25,26,46,0,25,35.98,Two-Year,DSL,899.4999999999999,Yes,0
26,27,33,1,18,98.99,One-Year,Fiber Optic,1781.82,Yes,0
27,28,48,0,7,82.53,Month-to-Month,,577.71,No,1
28,29,38,1,34,100.38,Two-Year,DSL,3412.92,Yes,1
29,30,42,0,62,97.66,Two-Year,Fiber Optic,6054.92,Yes,0
30,31,38,0,34,102.27,Month-to-Month,DSL,3477.18,No,1
31,32,63,1,0,76.62,Two-Year,DSL,0.0,Yes,1
32,33,44,1,20,42.63,Month-to-Month,Fiber Optic,852.6,Yes,1
33,34,34,1,1,90.4,Two-Year,Fiber Optic,90.4,Yes,1
34,35,53,1,5,85.84,Month-to-Month,DSL,429.2000000000001,Yes,1
